,accuracy,checkin,cleanliness,communication,guestSatisfaction,isSuperhost,latitude,location,longitude,numBaths,numBeds,numGuests,numReviews,numRooms,price,rating,roomID,value,bath,private bath,shared bath,Studio,bedroom,Entire home/apt,Private room,Shared room
10,1.0,1.0,1.0,1.0,0.9500000000000002,1.0,0.6485502619472641,1.0,0.7558080535458203,0.14285714285714285,0.25,0.4444444444444444,0.1974025974025974,0.25,0.10159651669085631,1.0,0.6664163860499973,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
11,1.0,1.0,1.0,1.0,0.9500000000000002,0.0,0.2049411820333944,1.0,0.44851079186753395,0.14285714285714285,0.0,0.2222222222222222,0.005194805194805196,0.125,0.07982583454281567,1.0,0.9751369158455425,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
12,0.875,0.875,0.75,1.0,0.825,0.0,0.5822594893791688,1.0,0.48583293479703116,0.14285714285714285,0.0,0.2222222222222222,0.04675324675324675,0.125,0.05805515239477503,0.875,0.19230731806822288,0.75,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
13,1.0,1.0,0.875,1.0,0.9375,0.0,0.36788377682597684,1.0,0.1422907730479892,0.14285714285714285,0.0,0.1111111111111111,0.17402597402597403,0.125,0.04354136429608128,1.0,0.587846991102079,0.875,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
14,1.0,1.0,1.0,1.0,0.9875,0.0,0.8372365836423228,0.875,0.3667414037395247,0.14285714285714285,0.0,0.2222222222222222,0.08051948051948052,0.125,0.03773584905660377,1.0,0.8441304155744707,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
15,1.0,1.0,1.0,1.0,0.9750000000000001,1.0,0.41789641503976327,1.0,0.8964562147443758,0.14285714285714285,0.0,0.1111111111111111,0.03636363636363636,0.125,0.03193033381712627,1.0,0.12473766022966389,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
16,1.0,1.0,0.875,1.0,0.9500000000000002,0.0,0.9352658377762282,1.0,0.7016438786179151,0.14285714285714285,0.0,0.1111111111111111,0.06233766233766233,0.125,0.029027576197387515,1.0,0.7852772078177787,0.875,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
17,1.0,1.0,1.0,1.0,0.9375,1.0,0.5351352985161384,0.875,0.11616288007201092,0.14285714285714285,0.25,0.6666666666666666,0.049350649350649346,0.25,0.0420899854862119,1.0,0.7979027217362564,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
18,0.875,1.0,0.875,1.0,0.9125000000000001,0.0,0.7548030795417162,0.875,0.7829545732510041,0.14285714285714285,0.0,0.1111111111111111,0.41298701298701296,0.125,0.04354136429608128,0.875,0.19490057606866137,0.875,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
19,1.0,1.0,1.0,1.0,1.0,0.0,0.7377221875261739,0.875,0.5654856309099614,0.14285714285714285,0.5,0.8888888888888888,0.015584415584415586,0.125,0.029027576197387515,1.0,0.9433398892368645,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
20,1.0,1.0,1.0,1.0,0.9375,0.0,0.4040765273493321,1.0,0.06614182074224573,0.14285714285714285,0.0,0.1111111111111111,0.15324675324675324,0.125,0.03047895500725689,1.0,0.6279880139321132,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
21,1.0,1.0,1.0,1.0,0.9750000000000001,1.0,0.7856620570897803,0.875,0.7965859548976368,0.2857142857142857,0.0,0.2222222222222222,0.08311688311688312,0.25,0.033381712626995644,1.0,0.7149854428398298,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
22,0.875,1.0,0.875,1.0,0.9125000000000001,1.0,0.1573683232188614,1.0,0.7391456776941823,0.14285714285714285,0.0,0.2222222222222222,0.5688311688311688,0.125,0.029027576197387515,0.875,0.16539630491387333,0.875,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
23,1.0,1.0,1.0,1.0,1.0,0.0,0.8356173886650708,1.0,0.3435932274570632,0.14285714285714285,0.125,0.4444444444444444,0.01038961038961039,0.0,0.036284470246734396,1.0,0.9864310032059569,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
24,1.0,1.0,1.0,0.875,0.9375,0.0,0.5138448934046664,1.0,0.9314278170858188,0.14285714285714285,0.0,0.1111111111111111,0.14545454545454545,0.125,0.036284470246734396,1.0,0.8348765341196055,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
25,0.875,0.875,0.875,1.0,0.925,0.0,0.41507952054007546,1.0,0.95456144624643,0.14285714285714285,0.0,0.1111111111111111,0.04415584415584416,0.125,0.03193033381712627,0.875,0.010809495915377575,0.875,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
26,1.0,0.875,0.875,1.0,0.925,0.0,0.21735379944777833,1.0,0.6890840283383568,0.14285714285714285,0.0,0.2222222222222222,0.2805194805194805,0.125,0.04354136429608128,0.875,0.19832984812338628,0.875,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
27,0.875,0.875,0.875,0.875,0.825,0.0,0.42654919780790124,1.0,0.5198533504650413,0.14285714285714285,0.0,0.1111111111111111,0.01038961038961039,0.125,0.05805515239477503,0.875,0.9617522697497958,0.875,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
28,0.875,1.0,0.875,0.875,0.8625,0.0,0.11440428293809646,1.0,0.9650000479579148,0.3571428571428571,0.0,0.2222222222222222,0.07792207792207792,0.125,0.04644412191582003,0.875,0.8984320591318501,0.875,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
29,1.0,1.0,1.0,1.0,0.9625000000000001,1.0,0.6105589382496532,1.0,0.4727687449980067,0.14285714285714285,0.0,0.2222222222222222,0.4831168831168831,0.125,0.04644412191582003,1.0,0.32521195421557686,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
30,0.875,1.0,0.875,1.0,0.9125000000000001,1.0,0.13379002280544228,0.875,0.6931106725080554,0.14285714285714285,0.0,0.2222222222222222,0.14545454545454545,0.125,0.049346879535558774,0.875,0.5939121945259842,0.875,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
31,1.0,1.0,1.0,1.0,0.9750000000000001,1.0,0.6726042279894955,1.0,0.25852985281710517,0.14285714285714285,0.0,0.1111111111111111,0.15584415584415584,0.125,0.04644412191582003,1.0,0.3522550017398779,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
32,1.0,1.0,1.0,1.0,0.9500000000000002,1.0,0.2463297925132224,1.0,0.42636503911830914,0.14285714285714285,0.0,0.1111111111111111,0.2727272727272727,0.125,0.05805515239477503,1.0,0.609257372118975,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
33,1.0,1.0,0.875,1.0,0.9375,0.0,0.3119111057843611,1.0,0.3565152708116557,0.14285714285714285,0.0,0.1111111111111111,0.057142857142857134,0.125,0.05660377358490566,1.0,0.5758749731382489,0.875,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
34,1.0,1.0,1.0,1.0,0.9375,1.0,0.7916363432069033,0.875,0.801111065799887,0.14285714285714285,0.125,0.4444444444444444,0.07272727272727272,0.125,0.05660377358490566,1.0,0.9418369401711081,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
35,1.0,1.0,1.0,1.0,0.9625000000000001,1.0,0.5109553009031629,1.0,0.4961731756869767,0.14285714285714285,0.125,0.3333333333333333,0.03116883116883117,0.0,0.04354136429608128,1.0,0.9580041255286448,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
36,1.0,1.0,0.875,1.0,0.9125000000000001,0.0,0.25898792671080173,1.0,0.5570879644915294,0.14285714285714285,0.0,0.2222222222222222,0.24935064935064932,0.125,0.05805515239477503,0.875,0.6916623524239935,0.875,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
37,1.0,1.0,1.0,1.0,0.9750000000000001,1.0,0.6189525075881193,0.875,0.2313053286794684,0.14285714285714285,0.0,0.2222222222222222,0.08051948051948052,0.125,0.05079825834542816,1.0,0.7790180543692752,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
38,1.0,1.0,0.875,1.0,0.9625000000000001,1.0,0.8023282619166707,0.875,0.7916498687966396,0.2857142857142857,0.25,0.5555555555555556,0.09350649350649351,0.125,0.04499274310595065,1.0,0.9462946927724709,0.875,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
39,0.875,1.0,0.875,1.0,0.8875,0.0,0.447913148052578,1.0,0.4264435206757753,0.14285714285714285,0.0,0.1111111111111111,0.16883116883116883,0.0,0.05805515239477503,0.875,0.7149339119109096,0.875,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
40,0.875,1.0,0.75,0.875,0.8125,0.0,0.5830186304402787,0.875,0.8898834086846819,0.14285714285714285,0.0,0.2222222222222222,0.32987012987012987,0.125,0.04644412191582003,0.875,0.33959279221494637,0.75,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
41,1.0,1.0,1.0,1.0,0.75,0.0,0.51127020883456,1.0,0.46415377265509505,0.14285714285714285,0.0,0.2222222222222222,0.005194805194805196,0.125,0.052249637155297526,0.75,0.9591675202431248,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
42,1.0,1.0,1.0,1.0,0.9375,0.0,0.8097282700115329,0.875,0.7796884603756098,0.14285714285714285,0.0,0.2222222222222222,0.23636363636363636,0.125,0.05079825834542816,1.0,0.516402477935185,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
43,1.0,1.0,1.0,1.0,1.0,0.0,0.5740542324093667,1.0,0.5024746027725087,0.14285714285714285,0.125,0.2222222222222222,0.04675324675324675,0.125,0.06966618287373004,1.0,0.6604408490604115,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
44,1.0,1.0,0.875,1.0,0.925,0.0,0.19062361497492475,0.875,0.3978103844791576,0.14285714285714285,0.0,0.2222222222222222,0.12467532467532466,0.125,0.07111756168359942,0.875,0.8732929070796123,0.875,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
45,1.0,1.0,1.0,1.0,0.9750000000000001,0.0,0.0048152865901442965,0.875,0.8098480097488618,0.21428571428571427,0.0,0.2222222222222222,0.018181818181818184,0.125,0.05805515239477503,1.0,0.06595670922004383,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
46,0.875,1.0,0.875,0.875,0.8625,0.0,0.49232152105304294,0.875,0.8732670675049121,0.14285714285714285,0.25,0.4444444444444444,0.4753246753246753,0.125,0.05805515239477503,0.875,0.10704688725482175,0.875,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
47,0.875,1.0,0.875,1.0,0.9375,1.0,0.15592687563832897,1.0,0.716611396465737,0.14285714285714285,0.125,0.3333333333333333,0.033766233766233764,0.125,0.05805515239477503,1.0,0.943939061731304,0.875,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
48,0.875,0.875,0.875,0.875,0.875,0.0,0.5207109677774042,0.875,0.4892286344813783,0.14285714285714285,0.125,0.6666666666666666,0.018181818181818184,0.125,0.06531204644412192,0.875,0.9299971311104348,0.875,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
49,1.0,1.0,1.0,1.0,0.9125000000000001,0.0,0.5537292561548384,1.0,0.42788783080732173,0.14285714285714285,0.0,0.1111111111111111,0.17922077922077922,0.125,0.05805515239477503,0.875,0.7114666788839911,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
50,0.875,1.0,1.0,1.0,0.8500000000000001,0.0,0.43766220514339693,1.0,0.42736074633592125,0.14285714285714285,0.0,0.1111111111111111,0.14805194805194805,0.125,0.05805515239477503,0.875,0.6073022947844025,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
51,1.0,1.0,1.0,1.0,0.9375,1.0,0.5088343532804629,1.0,0.9739792855668838,0.14285714285714285,0.0,0.2222222222222222,0.11948051948051946,0.125,0.06386066763425254,1.0,0.8232834713781906,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
52,1.0,1.0,1.0,1.0,0.9625000000000001,0.0,0.776893875083033,1.0,0.781243060109432,0.14285714285714285,0.0,0.2222222222222222,0.11168831168831168,0.125,0.07111756168359942,1.0,0.48690566807493146,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
53,0.875,1.0,0.875,1.0,0.875,0.0,0.24508614491929848,0.875,0.48892279597180277,0.14285714285714285,0.125,0.3333333333333333,0.16623376623376623,0.125,0.05805515239477503,0.875,0.8365634848172474,0.875,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
54,1.0,1.0,0.875,1.0,0.9000000000000001,0.0,0.1357848684207852,0.875,0.666662987652785,0.14285714285714285,0.125,0.3333333333333333,0.13506493506493505,0.125,0.059506531204644414,0.875,0.779069061698579,0.875,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
55,0.875,1.0,1.0,1.0,0.875,0.0,0.553851214814074,1.0,0.43533017772836047,0.14285714285714285,0.0,0.1111111111111111,0.32987012987012987,0.125,0.06386066763425254,0.875,0.6000433715015637,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
56,1.0,1.0,1.0,1.0,0.9375,1.0,0.11881198894781164,0.875,0.6949274378179098,0.14285714285714285,0.0,0.2222222222222222,0.10129870129870129,0.125,0.06676342525399129,1.0,0.659679317051567,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
57,1.0,1.0,0.875,0.875,0.9125000000000001,0.0,0.5168709945413639,0.875,0.9330319657751716,0.14285714285714285,0.0,0.5555555555555556,0.14805194805194805,0.125,0.06531204644412192,0.875,0.6948040810226773,0.875,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
58,0.875,0.875,0.875,1.0,0.875,0.0,0.29752368839007204,1.0,0.15175029154374897,0.14285714285714285,0.125,0.4444444444444444,0.18961038961038962,0.125,0.08563134978229317,0.875,0.727434110987847,0.875,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
59,1.0,1.0,1.0,1.0,0.9750000000000001,0.0,0.1610097388930285,1.0,0.6610005768955034,0.14285714285714285,0.0,0.2222222222222222,0.02077922077922078,0.125,0.08708272859216255,1.0,0.8143194023110378,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
60,1.0,1.0,1.0,1.0,0.9500000000000002,1.0,0.12143072330479754,1.0,0.6919643338151218,0.14285714285714285,0.0,0.2222222222222222,0.15584415584415584,0.125,0.07547169811320754,1.0,0.5965630484842337,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
61,1.0,1.0,1.0,1.0,1.0,0.0,0.33290315566239315,1.0,0.34310316184155454,0.14285714285714285,0.0,0.2222222222222222,0.007792207792207792,0.125,0.07256894049346879,1.0,0.9703872128247,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
62,0.875,1.0,0.875,1.0,0.9125000000000001,0.0,0.3435821111428936,1.0,0.5254050150989542,0.14285714285714285,0.0,0.1111111111111111,0.2909090909090909,0.125,0.08563134978229317,0.875,0.16358639557296525,0.875,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
63,0.875,1.0,1.0,1.0,0.9500000000000002,1.0,0.5804177802703521,1.0,0.47929505424929175,0.14285714285714285,0.0,0.2222222222222222,0.09090909090909091,0.125,0.08127721335268505,1.0,0.8505760577530378,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
64,1.0,1.0,0.875,1.0,0.9000000000000001,0.0,0.24847728220601084,1.0,0.5131370577188363,0.14285714285714285,0.0,0.2222222222222222,0.025974025974025972,0.125,0.08708272859216255,0.875,0.9164547942635299,0.875,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
65,1.0,1.0,1.0,1.0,0.9125000000000001,1.0,0.9248712988718921,1.0,0.7265182201778089,0.14285714285714285,0.125,0.4444444444444444,0.015584415584415586,0.125,0.07547169811320754,0.875,0.9333879622266511,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
66,1.0,1.0,1.0,1.0,1.0,0.0,0.8329093712342797,1.0,0.754982335255022,0.14285714285714285,0.125,0.3333333333333333,0.015584415584415586,0.125,0.08563134978229317,1.0,0.9753769426363896,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
67,0.875,0.875,0.875,0.875,0.8625,0.0,0.5469809089113937,1.0,0.4900668997581761,0.14285714285714285,0.0,0.2222222222222222,0.08311688311688312,0.125,0.07256894049346879,0.875,0.8416758678390935,0.875,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
68,1.0,1.0,1.0,1.0,0.9500000000000002,1.0,0.5653461539171758,1.0,0.4817540995785521,0.14285714285714285,0.0,0.2222222222222222,0.36363636363636365,0.125,0.08563134978229317,1.0,0.21123614233619242,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
69,1.0,1.0,1.0,1.0,0.9750000000000001,0.0,0.8288273575724361,1.0,0.7693077724724162,0.14285714285714285,0.0,0.2222222222222222,0.015584415584415586,0.125,0.08563134978229317,1.0,0.9741857098756342,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
70,1.0,1.0,0.875,1.0,0.8875,0.0,0.43225412762188853,0.875,0.46984745896043023,0.14285714285714285,0.125,0.2222222222222222,0.05974025974025973,0.125,0.07982583454281567,0.875,0.9701092250616594,0.875,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
71,1.0,1.0,1.0,1.0,0.925,0.0,0.5510277906594183,0.875,0.06567812749437962,0.14285714285714285,0.125,0.4444444444444444,0.08051948051948052,0.25,0.08708272859216255,0.875,0.8386311797026609,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
72,1.0,1.0,1.0,1.0,0.9625000000000001,1.0,0.25156475894061714,1.0,0.1216433049155512,0.14285714285714285,0.25,0.4444444444444444,0.12207792207792206,0.125,0.10449927431059507,1.0,0.799785193257346,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
73,1.0,1.0,1.0,1.0,0.9000000000000001,0.0,0.4258646158236843,1.0,0.5774581217391415,0.14285714285714285,0.0,0.2222222222222222,0.025974025974025972,0.125,0.11320754716981131,0.875,0.8977418239374474,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
74,1.0,1.0,1.0,1.0,0.9625000000000001,1.0,0.8556958194097319,0.875,0.798247827349428,0.14285714285714285,0.0,0.2222222222222222,0.11948051948051946,0.125,0.10885341074020319,1.0,0.5494564926897858,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
75,1.0,1.0,0.875,1.0,0.9375,0.0,0.2888793011069879,1.0,0.5491562027382315,0.21428571428571427,0.0,0.2222222222222222,0.12987012987012986,0.125,0.10159651669085631,1.0,0.906374585347283,0.875,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
76,1.0,1.0,1.0,1.0,0.9500000000000002,1.0,0.4372156365785145,1.0,0.4891232512237593,0.14285714285714285,0.25,0.6666666666666666,0.05974025974025973,0.0,0.10885341074020319,1.0,0.8250216039383418,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
77,1.0,1.0,1.0,1.0,0.9625000000000001,1.0,0.8194313010129122,0.875,0.6706481575386078,0.14285714285714285,0.0,0.2222222222222222,0.08571428571428572,0.125,0.11611030478955008,1.0,0.6080998242668788,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
78,0.875,0.875,0.875,0.875,0.8625,0.0,0.855130747956423,1.0,0.7217436886650148,0.14285714285714285,0.0,0.2222222222222222,0.15064935064935064,0.125,0.10159651669085631,0.875,0.49235795451446496,0.875,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
79,1.0,1.0,0.875,1.0,0.9125000000000001,0.0,0.6507469490751987,1.0,0.7297024635106482,0.14285714285714285,0.0,0.4444444444444444,0.057142857142857134,0.0,0.1146589259796807,0.875,0.9178842212164747,0.875,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
80,1.0,1.0,1.0,1.0,0.9750000000000001,1.0,0.5638474629157031,1.0,0.6479812304273764,0.14285714285714285,0.0,0.2222222222222222,0.08831168831168831,0.125,0.1146589259796807,1.0,0.7318689124726884,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
81,1.0,1.0,1.0,1.0,0.9750000000000001,0.0,0.8256885132967682,0.875,0.8034852119313882,0.14285714285714285,0.0,0.2222222222222222,0.09870129870129869,0.125,0.11611030478955008,1.0,0.4971378081465555,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
82,1.0,1.0,1.0,1.0,0.9375,0.0,0.5466249370763308,1.0,0.4573608709049495,0.14285714285714285,0.0,0.2222222222222222,0.2831168831168831,0.125,0.10885341074020319,1.0,0.29635450312032646,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
83,1.0,1.0,1.0,1.0,0.9750000000000001,0.0,0.7779516570353735,1.0,0.5864279939106609,0.2857142857142857,0.125,0.2222222222222222,0.03636363636363636,0.125,0.10159651669085631,1.0,0.9320258614577233,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
84,1.0,1.0,1.0,1.0,0.9625000000000001,0.0,0.8194075473052749,1.0,0.7757331429965006,0.14285714285714285,0.0,0.2222222222222222,0.17922077922077922,0.125,0.10885341074020319,1.0,0.7252271822377557,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
85,1.0,1.0,1.0,1.0,1.0,0.0,0.5955556643496038,1.0,0.21286831098234416,0.14285714285714285,0.0,0.4444444444444444,0.0025974025974025974,0.125,0.12917271407837447,1.0,0.9903425977740472,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
86,1.0,1.0,1.0,1.0,0.9750000000000001,1.0,0.4602754571419041,1.0,0.817983826790055,0.14285714285714285,0.0,0.2222222222222222,0.057142857142857134,0.0,0.13062409288824384,1.0,0.8942782561078442,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
87,1.0,1.0,1.0,0.875,0.925,0.0,0.548390090565249,1.0,0.47077217221874434,0.14285714285714285,0.125,0.4444444444444444,0.22597402597402597,0.125,0.12336719883889695,0.875,0.29633430090179125,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
88,1.0,1.0,1.0,1.0,0.925,0.0,0.24641829896881973,1.0,0.03739694455134668,0.14285714285714285,0.125,0.4444444444444444,0.23636363636363636,0.125,0.12336719883889695,0.875,0.7574857619083462,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
89,1.0,1.0,0.875,1.0,0.9500000000000002,1.0,0.525171503131503,1.0,0.4678296006752589,0.14285714285714285,0.0,0.2222222222222222,0.09610389610389611,0.125,0.12917271407837447,1.0,0.635726990796646,0.875,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
90,1.0,1.0,1.0,1.0,0.9500000000000002,0.0,0.16388168925874425,1.0,0.09821357342605097,0.14285714285714285,0.125,0.4444444444444444,0.3220779220779221,0.25,0.13062409288824384,1.0,0.6421906535286797,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
91,0.875,1.0,0.875,1.0,0.8875,0.0,0.6489611765252334,1.0,0.7581748448093322,0.14285714285714285,0.0,0.4444444444444444,0.049350649350649346,0.0,0.12917271407837447,0.875,0.929836429661482,0.875,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
92,1.0,0.875,1.0,1.0,0.9375,0.0,0.6430703942614286,1.0,0.7109323799669482,0.14285714285714285,0.125,0.4444444444444444,0.10129870129870129,0.125,0.11611030478955008,1.0,0.8436654591150513,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
93,1.0,1.0,1.0,1.0,0.9500000000000002,1.0,0.3634349595972708,1.0,0.39162482559106593,0.14285714285714285,0.125,0.3333333333333333,0.051948051948051945,0.0,0.12336719883889695,1.0,0.917785129989059,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
94,0.875,1.0,0.875,0.875,0.9000000000000001,0.0,0.5084853809619858,1.0,0.5041260233952016,0.14285714285714285,0.0,0.4444444444444444,0.17142857142857143,0.125,0.13062409288824384,0.875,0.42378516707736513,0.875,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
